t,act_lin,act_ang
1748481972.525041,0.45,0.0
1748481972.5353262,0.45,0.0
1748481972.5450885,0.45,0.0
1748481972.5550485,0.45,0.0
1748481972.5649922,0.45,0.0
1748481972.5753422,0.45,0.0
1748481972.5850832,0.45,0.0
1748481972.595155,0.45,0.0
1748481972.605051,0.45,0.0
1748481972.6150815,0.45,0.0
1748481972.6253073,0.45,0.0
1748481972.6352494,0.45,0.0
1748481972.6451185,0.45,0.0
1748481972.655171,0.45,0.0
1748481972.665208,-0.5,0.0
1748481972.675888,-0.5,0.0
1748481972.685491,-0.5,0.0
1748481972.6975625,-0.5,0.0
1748481972.7051148,0.5,0.0
1748481972.716164,0.5,0.0
1748481972.7255244,0.5,0.0
1748481972.7354429,0.5,0.0
1748481972.7458003,0.5,0.0
1748481972.755381,0.5,0.0
1748481972.7654119,0.5,0.0
1748481972.7752762,0.5,0.0
1748481972.7850573,0.5,0.0
1748481972.7951317,0.5,0.0
1748481972.8051906,0.5,0.0
1748481972.815234,0.5,0.0
1748481972.8251867,0.5,0.0
1748481972.835135,0.5,0.0
1748481972.8449452,0.5,0.0
1748481972.8549623,0.5,0.0
1748481972.865337,-0.5,0.0
1748481972.8751059,-0.5,0.0
1748481972.884957,-0.5,0.0
1748481972.8981848,-0.5,0.0
1748481972.905234,0.5,0.0
1748481972.9151492,0.49999999999999994,0.0
1748481972.9249382,0.49999999999999994,0.0
1748481972.935615,0.49999999999999994,0.0
1748481972.9455593,0.49999999999999994,0.0
1748481972.955141,0.49999999999999994,0.0
1748481972.965201,0.49999999999999994,0.0
1748481972.9750416,0.49999999999999994,0.0
1748481972.9850266,0.49999999999999994,0.0
1748481972.9951386,0.49999999999999994,0.0
1748481973.005,0.49999999999999994,0.0
1748481973.0152261,0.49999999999999994,0.0
1748481973.0250733,0.49999999999999994,0.0
1748481973.0350943,0.49999999999999994,0.0
1748481973.0453005,0.49999999999999994,0.0
1748481973.055302,0.49999999999999994,0.0
1748481973.0651937,-0.5,0.0
1748481973.0751805,-0.5,0.0
1748481973.0851626,-0.5,0.0
1748481973.0981762,-0.5,0.0
1748481973.1050196,0.5,0.0
1748481973.1151974,0.5,0.0
1748481973.1251154,0.5,0.0
1748481973.1351159,0.5,0.0
1748481973.1451244,0.5,0.0
1748481973.1551926,0.5,0.0
1748481973.1650786,0.5,0.0
1748481973.1751783,0.5,0.0
1748481973.1852028,0.5,0.0
1748481973.195179,0.5,0.0
1748481973.2051444,0.5,0.0
1748481973.2150815,0.5,0.0
1748481973.2254512,0.5,0.0
1748481973.2350113,0.5,0.0
1748481973.2452073,0.5,0.0
1748481973.255191,0.5,0.0
1748481973.2651362,-0.5,0.0
1748481973.2751818,-0.5,0.0
1748481973.286199,-0.5,0.0
1748481973.2977464,-0.5,0.0
1748481973.3049607,0.5,0.0
1748481973.3151412,0.5,0.0
1748481973.3252513,0.5,0.0
1748481973.3353577,0.5,0.0
1748481973.3452444,0.5,0.0
1748481973.3551412,0.5,0.0
1748481973.3650286,0.5,0.0
1748481973.375101,0.5,0.0
1748481973.3851635,0.5,0.0
1748481973.3949876,0.5,0.0
1748481973.4059196,0.5,0.0
1748481973.41513,0.5,0.0
1748481973.425307,0.5,0.0
1748481973.4353,0.5,0.0
1748481973.4451628,0.5,0.0
1748481973.455115,0.5,0.0
1748481973.4654276,-0.5,0.0
1748481973.475347,-0.5,0.0
1748481973.4853106,-0.5,0.0
1748481973.4976106,-0.5,0.0
1748481973.5051455,0.5,0.0
1748481973.5150754,0.49999999999999994,0.0
1748481973.5253253,0.49999999999999994,0.0
1748481973.5351343,0.49999999999999994,0.0
1748481973.545133,0.49999999999999994,0.0
1748481973.5552495,0.49999999999999994,0.0
1748481973.5652182,0.49999999999999994,0.0
1748481973.575044,0.49999999999999994,0.0
1748481973.5851793,0.49999999999999994,0.0
1748481973.595188,0.49999999999999994,0.0
1748481973.6050155,0.49999999999999994,0.0
1748481973.614993,0.49999999999999994,0.0
1748481973.6249022,0.49999999999999994,0.0
1748481973.6349716,0.49999999999999994,0.0
1748481973.6449687,0.49999999999999994,0.0
1748481973.6550784,0.49999999999999994,0.0
1748481973.665106,-0.5,0.0
1748481973.6751282,-0.5,0.0
1748481973.6849072,-0.5,0.0
1748481973.6975918,-0.5,0.0
1748481973.7050793,0.5,0.0
1748481973.7151797,0.5,0.0
1748481973.7249622,0.5,0.0
1748481973.7351158,0.5,0.0
1748481973.7455664,0.5,0.0
1748481973.7552264,0.5,0.0
1748481973.7651932,0.5,0.0
1748481973.775148,0.5,0.0
1748481973.7850955,0.5,0.0
1748481973.795243,0.5,0.0
1748481973.8052194,0.5,0.0
1748481973.8150728,0.5,0.0
1748481973.8251188,0.5,0.0
1748481973.835105,0.5,0.0
1748481973.845337,0.5,0.0
1748481973.8553193,0.5,0.0
1748481973.8651612,-0.5,0.0
1748481973.875183,-0.5,0.0
1748481973.8853881,-0.5,0.0
1748481973.8982954,-0.5,0.0
1748481973.9053438,0.5,0.0
1748481973.9153214,0.5,0.0
1748481973.9250746,0.5,0.0
1748481973.9352176,0.5,0.0
1748481973.945205,0.5,0.0
1748481973.955256,0.5,0.0
1748481973.9650643,0.5,0.0
1748481973.9751878,0.5,0.0
1748481973.9851785,0.5,0.0
1748481973.9952736,0.5,0.0
1748481974.0051079,0.5,0.0
1748481974.0150187,0.5,0.0
1748481974.0252154,0.5,0.0
1748481974.0352163,0.5,0.0
1748481974.045202,0.5,0.0
1748481974.0552704,0.5,0.0
1748481974.0651221,-0.5,0.0
1748481974.0751588,-0.5,0.0
1748481974.0852516,-0.5,0.0
1748481974.0974839,-0.5,0.0
1748481974.1050637,0.5,0.0
1748481974.1151464,0.5,0.0
1748481974.125444,0.5,0.0
1748481974.1350744,0.5,0.0
1748481974.1450863,0.5,0.0
1748481974.1551075,0.5,0.0
1748481974.1651003,0.5,0.0
1748481974.1750562,0.5,0.0
1748481974.1851494,0.5,0.0
1748481974.1951056,0.5,0.0
1748481974.2052796,0.5,0.0
1748481974.2156096,0.5,0.0
1748481974.2255855,0.5,0.0
1748481974.2352762,0.5,0.0
1748481974.2452989,0.5,0.0
1748481974.2553492,0.5,0.0
1748481974.2652678,-0.5,0.0
1748481974.2755957,-0.5,0.0
1748481974.285011,-0.5,0.0
1748481974.2981865,-0.5,0.0
1748481974.3053365,0.5,0.0
1748481974.3151488,0.49999999999999994,0.0
1748481974.325178,0.49999999999999994,0.0
1748481974.3351717,0.49999999999999994,0.0
1748481974.3451188,0.49999999999999994,0.0
1748481974.3553174,0.49999999999999994,0.0
1748481974.3654277,0.49999999999999994,0.0
1748481974.3751476,0.49999999999999994,0.0
1748481974.3849463,0.49999999999999994,0.0
1748481974.3948295,0.49999999999999994,0.0
1748481974.4050684,0.49999999999999994,0.0
1748481974.4149525,0.49999999999999994,0.0
1748481974.4251776,0.49999999999999994,0.0
1748481974.4350698,0.49999999999999994,0.0
1748481974.44497,0.49999999999999994,0.0
1748481974.4550948,0.49999999999999994,0.0
1748481974.4651527,-0.5,0.0
1748481974.4749138,-0.5,0.0
1748481974.4848897,-0.5,0.0
1748481974.4973302,-0.5,0.0
1748481974.505667,0.5,0.0
1748481974.5349061,0.0,0.11415502349999983
1748481974.5464158,0.0,0.11415502349999983
1748481974.5559783,0.0,0.11415502349999983
1748481974.5662272,0.0,0.11415502349999983
1748481974.5758421,0.0,0.11415502349999983
1748481974.5849392,0.0,0.11415502349999983
1748481974.595107,0.0,0.11415502349999983
1748481974.6055179,0.0,0.11415502349999983
1748481974.6150587,0.0,0.11415502349999983
1748481974.6253686,0.0,0.11415502349999983
1748481974.6352053,0.0,0.11415502349999983
1748481974.6452684,0.0,0.11415502349999983
1748481974.6549888,0.0,0.11415502349999983
1748481974.6652946,0.0,0.5
1748481974.6749778,0.0,0.5
1748481974.6851869,0.0,0.5
1748481974.6986618,0.0,0.5
1748481974.705357,0.0,-0.0690380816034637
1748481974.7154028,0.0,-0.0690380816034637
1748481974.7254755,0.0,-0.0690380816034637
1748481974.7353442,0.0,-0.0690380816034637
1748481974.7452362,0.0,-0.0690380816034637
1748481974.7557719,0.0,-0.0690380816034637
1748481974.7650938,0.0,-0.0690380816034637
1748481974.7755446,0.0,-0.0690380816034637
1748481974.7853296,0.0,-0.0690380816034637
1748481974.7955978,0.0,-0.0690380816034637
1748481974.8054998,0.0,-0.0690380816034637
1748481974.815429,0.0,-0.0690380816034637
1748481974.825544,0.0,-0.0690380816034637
1748481974.8354242,0.0,-0.0690380816034637
1748481974.8456066,0.0,-0.0690380816034637
1748481974.8554232,0.0,-0.0690380816034637
1748481974.8653383,0.0,0.5
1748481974.8754916,0.0,0.5
1748481974.885299,0.0,0.5
1748481974.8984897,0.0,0.5
1748481974.905574,0.0,-0.08951790692501904
1748481974.9152203,0.0,-0.08951790692501904
1748481974.925387,0.0,-0.08951790692501904
1748481974.9355617,0.0,-0.08951790692501904
1748481974.9454942,0.0,-0.08951790692501904
1748481974.955425,0.0,-0.08951790692501904
1748481974.9654722,0.0,-0.08951790692501904
1748481974.9755368,0.0,-0.08951790692501904
1748481974.9855242,0.0,-0.08951790692501904
1748481974.9954927,0.0,-0.08951790692501904
1748481975.0054014,0.0,-0.08951790692501904
1748481975.0154297,0.0,-0.08951790692501904
1748481975.025236,0.0,-0.08951790692501904
1748481975.035552,0.0,-0.08951790692501904
1748481975.0452404,0.0,-0.08951790692501904
1748481975.0554178,0.0,-0.08951790692501904
1748481975.065529,0.0,0.5
1748481975.075304,0.0,0.5
1748481975.084977,0.0,0.5
1748481975.0985634,0.0,0.5
1748481975.1052885,0.0,-0.11074933583962632
1748481975.1150675,0.0,-0.11074933583962632
1748481975.1252692,0.0,-0.11074933583962632
1748481975.1351845,0.0,-0.11074933583962632
1748481975.1452427,0.0,-0.11074933583962632
1748481975.1553621,0.0,-0.11074933583962632
1748481975.1650438,0.0,-0.11074933583962632
1748481975.1751418,0.0,-0.11074933583962632
1748481975.185168,0.0,-0.11074933583962632
1748481975.1950479,0.0,-0.11074933583962632
1748481975.2050383,0.0,-0.11074933583962632
1748481975.215108,0.0,-0.11074933583962632
1748481975.2251797,0.0,-0.11074933583962632
1748481975.2353933,0.0,-0.11074933583962632
1748481975.2450511,0.0,-0.11074933583962632
1748481975.2551181,0.0,-0.11074933583962632
1748481975.2653394,0.0,0.5
1748481975.2751763,0.0,0.5
1748481975.2850327,0.0,0.5
1748481975.2972279,0.0,0.5
1748481975.305608,0.0,-0.1327316067788763
1748481975.3150508,0.0,-0.1327316067788763
1748481975.3250043,0.0,-0.1327316067788763
1748481975.3349867,0.0,-0.1327316067788763
1748481975.345268,0.0,-0.1327316067788763
1748481975.3553417,0.0,-0.1327316067788763
1748481975.365102,0.0,-0.1327316067788763
1748481975.375024,0.0,-0.1327316067788763
1748481975.38505,0.0,-0.1327316067788763
1748481975.3955455,0.0,-0.1327316067788763
1748481975.4051557,0.0,-0.1327316067788763
1748481975.4151478,0.0,-0.1327316067788763
1748481975.4250722,0.0,-0.1327316067788763
1748481975.435357,0.0,-0.1327316067788763
1748481975.4454622,0.0,-0.1327316067788763
1748481975.4553103,0.0,-0.1327316067788763
1748481975.465151,0.0,0.5
1748481975.4752922,0.0,0.4999999999999999
1748481975.4851265,0.0,0.4999999999999999
1748481975.4977736,0.0,0.4999999999999999
1748481975.5052292,0.0,-0.15550014620493435
1748481975.515128,0.0,-0.15550014620493435
1748481975.525237,0.0,-0.15550014620493435
1748481975.535547,0.0,-0.15550014620493435
1748481975.5451488,0.0,-0.15550014620493435
1748481975.5551486,0.0,-0.15550014620493435
1748481975.5651622,0.0,-0.15550014620493435
1748481975.5751708,0.0,-0.15550014620493435
1748481975.5852234,0.0,-0.15550014620493435
1748481975.5951254,0.0,-0.15550014620493435
1748481975.6055694,0.0,-0.15550014620493435
1748481975.6155577,0.0,-0.15550014620493435
1748481975.6249485,0.0,-0.15550014620493435
